	end	fragment lengths	included transcripts	inclusion normalized reads	normed reads	position	reads	sample
44	5p	20,21,22,23	600.5	0.401915619211336	241.35032933640727	-56	16.0	undepleted
45	5p	20,21,22,23	603.0	0.4860082508834229	293.06297528270403	-55	17.0	undepleted
46	5p	20,21,22,23	605.5	0.5900662496639157	357.285114171501	-54	11.0	undepleted
47	5p	20,21,22,23	608.0	0.41388125547594123	251.63980332937226	-53	11.0	undepleted
48	5p	20,21,22,23	609.5	0.7635472351693144	465.3820398356971	-52	14.0	undepleted
49	5p	20,21,22,23	611.5	0.3826133146452378	233.9680419055629	-51	18.0	undepleted
50	5p	20,21,22,23	614.5	0.5986621493983479	367.87789080528484	-50	24.0	undepleted
51	5p	20,21,22,23	617.0	0.3836025294372134	236.68276066276067	-49	16.0	undepleted
52	5p	20,21,22,23	618.0	0.20512512197620705	126.76732538129596	-48	7.0	undepleted
53	5p	20,21,22,23	619.0	0.5956597932902682	368.713412046676	-47	20.0	undepleted
54	5p	20,21,22,23	622.0	2.0473316399025294	1273.4402800193734	-46	26.0	undepleted
55	5p	20,21,22,23	625.5	0.5844143282487406	365.55116231958726	-45	14.0	undepleted
56	5p	20,21,22,23	628.5	0.41901032769712315	263.3479909576419	-44	20.0	undepleted
57	5p	20,21,22,23	630.0	0.4476586475831327	282.0249479773736	-43	9.0	undepleted
58	5p	20,21,22,23	631.5	0.15545103967659316	98.16733155576858	-42	6.0	undepleted
59	5p	20,21,22,23	634.5	0.20700787020166694	131.34649364295768	-41	20.0	undepleted
60	5p	20,21,22,23	637.0	0.2450225554427614	156.079367817039	-40	11.0	undepleted
61	5p	20,21,22,23	639.0	0.8495217446431182	542.8443948269526	-39	20.0	undepleted
62	5p	20,21,22,23	641.5	0.37011201935094323	237.4268604136301	-38	14.0	undepleted
63	5p	20,21,22,23	645.0	0.15630321300403638	100.81557238760347	-37	9.0	undepleted
64	5p	20,21,22,23	648.0	0.7698022787468571	498.8318766279634	-36	17.0	undepleted
65	5p	20,21,22,23	651.0	0.2987093381250362	194.45977911939855	-35	27.0	undepleted
66	5p	20,21,22,23	653.0	0.15479490993740289	101.08107618912409	-34	12.0	undepleted
67	5p	20,21,22,23	655.0	0.5095258373174143	333.7394234429064	-33	24.0	undepleted
68	5p	20,21,22,23	657.0	0.4403521396247181	289.31135573343977	-32	27.0	undepleted
69	5p	20,21,22,23	658.0	0.44849765903356914	295.1114596440885	-31	15.0	undepleted
70	5p	20,21,22,23	659.0	0.6891528546900852	454.1517312407662	-30	28.0	undepleted
71	5p	20,21,22,23	660.0	0.42291542463808435	279.1241802611357	-29	25.0	undepleted
72	5p	20,21,22,23	663.5	0.49279329430683433	326.9683507725846	-28	33.0	undepleted
73	5p	20,21,22,23	668.0	0.4725611340574339	315.67083755036583	-27	28.0	undepleted
74	5p	20,21,22,23	671.5	0.681409039083635	457.5661697446609	-26	22.0	undepleted
75	5p	20,21,22,23	675.0	0.49715682795240773	335.58085886787524	-25	20.0	undepleted
76	5p	20,21,22,23	680.0	0.5181880047992249	352.36784326347293	-24	27.0	undepleted
77	5p	20,21,22,23	683.5	0.5914811964567703	404.2773977782025	-23	35.0	undepleted
78	5p	20,21,22,23	684.5	0.41228596541421264	282.20974332602856	-22	21.0	undepleted
79	5p	20,21,22,23	685.5	0.528349717231398	362.18373116212337	-21	21.0	undepleted
80	5p	20,21,22,23	687.0	0.6802682658615588	467.3442986468909	-20	22.0	undepleted
81	5p	20,21,22,23	690.0	0.3838994713021884	264.89063519851	-19	28.0	undepleted
82	5p	20,21,22,23	694.0	0.404306981012512	280.5890448226833	-18	29.0	undepleted
83	5p	20,21,22,23	696.0	0.7696024522411058	535.6433067598097	-17	39.0	undepleted
84	5p	20,21,22,23	696.5	0.39002700593509937	271.6538096337967	-16	72.0	undepleted
85	5p	20,21,22,23	698.5	0.33559683397723034	234.4143885330954	-15	36.0	undepleted
86	5p	20,21,22,23	701.0	0.7970666682003142	558.7437344084203	-14	29.0	undepleted
87	5p	20,21,22,23	703.0	0.4266204214097066	299.9141562510237	-13	19.0	undepleted
88	5p	20,21,22,23	706.0	0.2126866130588767	150.15674881956696	-12	7.0	undepleted
89	5p	20,21,22,23	708.5	0.6073763584721587	430.3261499775244	-11	27.0	undepleted
90	5p	20,21,22,23	710.0	0.13981314817019605	99.2673352008392	-10	15.0	undepleted
91	5p	20,21,22,23	712.0	0.3430845640397464	244.27620959629945	-9	18.0	undepleted
92	5p	20,21,22,23	713.5	0.4807135852756868	342.9891430942025	-8	38.0	undepleted
93	5p	20,21,22,23	714.5	0.3932885152507227	281.0046441466414	-7	12.0	undepleted
94	5p	20,21,22,23	715.0	0.10080894790368088	72.07839775113183	-6	8.0	undepleted
95	5p	20,21,22,23	716.0	0.2681276812508097	191.97941977557974	-5	6.0	undepleted
96	5p	20,21,22,23	718.0	0.23342266182560034	167.59747119078105	-4	5.0	undepleted
97	5p	20,21,22,23	720.0	0.42348378485946425	304.90832509881426	-3	8.0	undepleted
98	5p	20,21,22,23	721.0	1.5332440033250947	1105.4689263973933	-2	34.0	undepleted
99	5p	20,21,22,23	721.5	1.7914968662618498	1292.5649890079246	-1	83.0	undepleted
100	5p	20,21,22,23	722.5	10.560016018556784	7629.611573407276	0	564.0	undepleted
101	5p	20,21,22,23	723.5	3.3878668601578505	2451.121673324205	1	152.0	undepleted
102	5p	20,21,22,23	724.5	0.5404800114342061	391.5777682840823	2	33.0	undepleted
103	5p	20,21,22,23	725.0	2.4530645849193333	1778.4718240665168	3	120.0	undepleted
104	5p	20,21,22,23	725.0	0.8355362939147083	605.7638130881635	4	31.0	undepleted
105	5p	20,21,22,23	725.0	0.5078356545032134	368.18084951482973	5	23.0	undepleted
106	5p	20,21,22,23	726.0	3.952336016775272	2869.3959481788474	6	190.0	undepleted
107	5p	20,21,22,23	727.0	1.8009589787081313	1309.2971775208114	7	70.0	undepleted
108	5p	20,21,22,23	727.0	2.001361099396601	1454.9895192613287	8	55.0	undepleted
109	5p	20,21,22,23	727.0	4.85223085955405	3527.571834895794	9	144.0	undepleted
110	5p	20,21,22,23	727.0	0.9726055827088375	707.0842586293248	10	29.0	undepleted
111	5p	20,21,22,23	727.0	0.5857820255867386	425.863532601559	11	26.0	undepleted
112	5p	20,21,22,23	744.0	4.258831579549643	3168.5706951849343	12	166.0	undepleted
113	5p	20,21,22,23	761.0	3.459594367143006	2632.7513133958273	13	200.0	undepleted
114	5p	20,21,22,23	761.0	0.8278282316290597	629.9772842697145	14	43.0	undepleted
115	5p	20,21,22,23	761.0	2.011876706586026	1531.038173711966	15	115.0	undepleted
116	5p	20,21,22,23	761.0	0.592991857867069	451.2668038368395	16	45.0	undepleted
117	5p	20,21,22,23	761.0	0.38450772904821734	292.6103818056934	17	17.0	undepleted
118	5p	20,21,22,23	761.0	1.377109512112835	1047.9803387178674	18	86.0	undepleted
119	5p	20,21,22,23	761.0	1.6217049722110648	1234.1174838526204	19	39.0	undepleted
120	5p	20,21,22,23	761.0	0.49573103339189895	377.2513164112351	20	17.0	undepleted
121	5p	20,21,22,23	761.0	2.2358041522672725	1701.4469598753944	21	85.0	undepleted
122	5p	20,21,22,23	761.0	0.4662289167652758	354.80020565837486	22	28.0	undepleted
123	5p	20,21,22,23	761.0	0.2587885023680062	196.93805030205274	23	16.0	undepleted
124	5p	20,21,22,23	761.0	2.043900170270116	1555.4080295755582	24	86.0	undepleted
125	5p	20,21,22,23	761.0	0.3839590918222597	292.1928688767396	25	19.0	undepleted
126	5p	20,21,22,23	761.0	0.9390561342810834	714.6217181879044	26	22.0	undepleted
127	5p	20,21,22,23	761.0	1.941269213687289	1477.305871616027	27	100.0	undepleted
128	5p	20,21,22,23	761.0	0.25682038950574115	195.44031641386903	28	16.0	undepleted
129	5p	20,21,22,23	761.0	0.42711910520484864	325.03763906088983	29	26.0	undepleted
130	5p	20,21,22,23	761.0	1.3737083145254951	1045.3920273539018	30	82.0	undepleted
131	5p	20,21,22,23	761.0	0.3862571551643404	293.941695080063	31	20.0	undepleted
132	5p	20,21,22,23	761.0	0.4819543068542553	366.76722751608827	32	21.0	undepleted
133	5p	20,21,22,23	761.0	1.3663212539015603	1039.7704742190874	33	76.0	undepleted
134	5p	20,21,22,23	761.0	0.38133823197327915	290.19839453166543	34	20.0	undepleted
135	5p	20,21,22,23	761.0	0.85779204750684	652.7797481527052	35	19.0	undepleted
136	5p	20,21,22,23	761.0	1.6632419451751521	1265.7271202782908	36	107.0	undepleted
137	5p	20,21,22,23	761.0	0.37942492895177216	288.7423709322986	37	20.0	undepleted
138	5p	20,21,22,23	761.0	0.5826464148562778	443.3939217056274	38	25.0	undepleted
139	5p	20,21,22,23	761.0	1.6646481201715926	1266.797219450582	39	107.0	undepleted
140	5p	20,21,22,23	761.0	0.7278048065556091	553.8594577888185	40	25.0	undepleted
141	5p	20,21,22,23	761.0	0.7354067725544932	559.6445539139693	41	22.0	undepleted
142	5p	20,21,22,23	761.0	1.4571331585940492	1108.8783336900715	42	73.0	undepleted
143	5p	20,21,22,23	761.0	0.39215588063065776	298.43062515993057	43	21.0	undepleted
144	5p	20,21,22,23	761.0	0.2549816273302532	194.04101839832268	44	16.0	undepleted
145	5p	20,21,22,23	761.0	2.1113848743455708	1606.7638893769793	45	106.0	undepleted
146	5p	20,21,22,23	761.0	0.5087638731407857	387.16930746013793	46	27.0	undepleted
147	5p	20,21,22,23	761.0	0.5952162977460568	452.9596025847492	47	19.0	undepleted
148	5p	20,21,22,23	761.0	1.819483990307485	1384.6273166239962	48	98.0	undepleted
149	5p	20,21,22,23	761.0	0.25424927987995355	193.48370198864464	49	18.0	undepleted
150	5p	20,21,22,23	761.0	0.8252295273242944	627.9996702937881	50	17.0	undepleted
151	5p	20,21,22,23	761.0	2.4344625682243413	1852.6260144187238	51	99.0	undepleted
152	5p	20,21,22,23	761.0	0.15353167763756162	116.83760668218439	52	16.0	undepleted
153	5p	20,21,22,23	761.0	0.566998968617175	431.4862151176702	53	18.0	undepleted
154	5p	20,21,22,23	761.0	2.1409318969049242	1629.2491735446474	54	96.0	undepleted
155	5p	20,21,22,23	761.0	0.7205232692189645	548.318207875632	55	20.0	undepleted
156	5p	20,21,22,23	761.0	0.3925980311142948	298.76710167797836	56	19.0	undepleted
157	5p	20,21,22,23	761.0	1.1370427873730458	865.2895611908879	57	70.0	undepleted
158	5p	20,21,22,23	761.0	0.47502068269204395	361.49073952864546	58	21.0	undepleted
159	5p	20,21,22,23	761.0	0.5809137623880858	442.0753731773333	59	20.0	undepleted
160	5p	20,21,22,23	761.0	2.259350780268967	1719.365943784684	60	96.0	undepleted
161	5p	20,21,22,23	761.0	0.5378444043884579	409.2995917396165	61	20.0	undepleted
162	5p	20,21,22,23	761.0	0.512816275243297	390.253185460149	62	28.0	undepleted
163	5p	20,21,22,23	761.0	1.7983781591159687	1368.5657790872522	63	107.0	undepleted
164	5p	20,21,22,23	761.0	0.30941428941958865	235.46427424830696	64	24.0	undepleted
165	5p	20,21,22,23	761.0	0.34483982331416396	262.42310554207876	65	29.0	undepleted
166	5p	20,21,22,23	761.0	1.7705179947381924	1347.3641939957645	66	104.0	undepleted
167	5p	20,21,22,23	761.0	0.4740878146910499	360.78082697988896	67	23.0	undepleted
168	5p	20,21,22,23	761.0	0.8231414838579422	626.410669215894	68	34.0	undepleted
169	5p	20,21,22,23	761.0	1.7816912028615133	1355.8670053776116	69	104.0	undepleted
170	5p	20,21,22,23	761.0	0.35347190002882545	268.99211592193615	70	19.0	undepleted
171	5p	20,21,22,23	761.0	0.26081290701497634	198.47862223839698	71	13.0	undepleted
172	5p	20,21,22,23	761.0	2.154424520439241	1639.5170600542624	72	93.0	undepleted
173	5p	20,21,22,23	761.0	0.35693652522713526	271.62869569784993	73	26.0	undepleted
174	5p	20,21,22,23	761.0	0.549194097130589	417.9367079163782	74	32.0	undepleted
175	5p	20,21,22,23	761.0	1.6315351271089014	1241.598231729874	75	88.0	undepleted
176	5p	20,21,22,23	761.0	0.5269513980258209	401.01001389764974	76	22.0	undepleted
177	5p	20,21,22,23	761.0	0.5306629748932493	403.8345238937627	77	29.0	undepleted
178	5p	20,21,22,23	761.0	2.4273370579836033	1847.2035011255223	78	166.0	undepleted
179	5p	20,21,22,23	761.0	0.3434892940871767	261.39535280034147	79	23.0	undepleted
180	5p	20,21,22,23	761.0	0.43158119180684695	328.43328696501055	80	29.0	undepleted
181	5p	20,21,22,23	761.0	1.7530660418754411	1334.0832578672107	81	117.0	undepleted
182	5p	20,21,22,23	761.0	1.0504960424190906	799.427488280928	82	24.0	undepleted
183	5p	20,21,22,23	761.0	0.6896827189053644	524.8485490869823	83	30.0	undepleted
184	5p	20,21,22,23	761.0	1.55356967660605	1182.266523897204	84	103.0	undepleted
185	5p	20,21,22,23	761.0	1.0672569339451905	812.18252673229	85	27.0	undepleted
186	5p	20,21,22,23	761.0	0.4082428838226172	310.6728345890117	86	25.0	undepleted
187	5p	20,21,22,23	761.0	1.6134412363893629	1227.828780892305	87	84.0	undepleted
188	5p	20,21,22,23	761.0	0.2616367138111234	199.10553921026494	88	16.0	undepleted
189	5p	20,21,22,23	761.0	0.3332253947810599	253.5845254283866	89	26.0	undepleted
190	5p	20,21,22,23	761.0	2.204121524974068	1677.3364805052656	90	99.0	undepleted
191	5p	20,21,22,23	761.0	0.2516330458504237	191.49274789217242	91	18.0	undepleted
192	5p	20,21,22,23	761.0	0.3726634717939779	283.59690203521717	92	19.0	undepleted
193	5p	20,21,22,23	761.0	1.7496233545047326	1331.4633727781015	93	88.0	undepleted
194	5p	20,21,22,23	761.0	0.7485365827934068	569.6363395057826	94	32.0	undepleted
195	5p	20,21,22,23	761.0	2.0714265770063762	1576.3556251018524	95	41.0	undepleted
196	5p	20,21,22,23	761.0	1.8911733941703286	1439.18295296362	96	100.0	undepleted
197	5p	20,21,22,23	761.0	0.4340975902912962	330.3482662116764	97	18.0	undepleted
198	5p	20,21,22,23	761.0	0.3121848534717775	237.5726734920227	98	26.0	undepleted
199	5p	20,21,22,23	761.0	2.1648024624474544	1647.414673922513	99	89.0	undepleted
200	5p	20,21,22,23	761.0	0.6325583900842391	481.37693485410597	100	31.0	undepleted
201	5p	20,21,22,23	761.0	0.23794770785235048	181.0782056756387	101	20.0	undepleted
202	5p	20,21,22,23	761.0	1.8708902942692012	1423.747513938862	102	88.0	undepleted
203	5p	20,21,22,23	761.0	0.548838957138802	417.66644638262835	103	28.0	undepleted
204	5p	20,21,22,23	761.0	0.7469880161111526	568.4578802605871	104	28.0	undepleted
205	5p	20,21,22,23	761.0	2.2643697356250025	1723.185368810627	105	101.0	undepleted
206	5p	20,21,22,23	761.0	0.4188281832634546	318.72824746348897	106	20.0	undepleted
207	5p	20,21,22,23	761.0	0.32840100014819606	249.9131611127772	107	22.0	undepleted
208	5p	20,21,22,23	761.0	1.2785607519411952	972.9847322272495	108	77.0	undepleted
209	5p	20,21,22,23	761.0	0.23651659683100795	179.98913018839704	109	14.0	undepleted
210	5p	20,21,22,23	761.0	0.46180213294185346	351.4314231687505	110	25.0	undepleted
211	5p	20,21,22,23	761.0	1.9850259172447304	1510.6047230232398	111	77.0	undepleted
212	5p	20,21,22,23	761.0	0.32511175171768175	247.41004305715583	112	25.0	undepleted
213	5p	20,21,22,23	761.0	0.7092080133105552	539.7072981293325	113	14.0	undepleted
214	5p	20,21,22,23	761.0	1.8238353890793133	1387.9387310893574	114	92.0	undepleted
215	5p	20,21,22,23	761.0	0.74941207118632	570.3025861727896	115	26.0	undepleted
216	5p	20,21,22,23	761.0	1.0009144803510328	761.695919547136	116	45.0	undepleted
217	5p	20,21,22,23	761.0	1.6784451368508502	1277.296749143497	117	111.0	undepleted
218	5p	20,21,22,23	761.0	0.29621889423770803	225.4225785148958	118	24.0	undepleted
219	5p	20,21,22,23	761.0	0.36718733693965905	279.42956341108055	119	25.0	undepleted
220	5p	20,21,22,23	761.0	1.916084671928201	1458.140435337361	120	100.0	undepleted
221	5p	20,21,22,23	761.0	0.4356572964610766	331.5352026068793	121	30.0	undepleted
222	5p	20,21,22,23	761.0	0.41314835734103994	314.4058999365314	122	20.0	undepleted
223	5p	20,21,22,23	761.0	1.868410939375897	1421.8607248650576	123	101.0	undepleted
224	5p	20,21,22,23	761.0	0.35356350279047943	269.06182562355485	124	25.0	undepleted
225	5p	20,21,22,23	761.0	0.5015772888733194	381.7003168325961	125	21.0	undepleted
226	5p	20,21,22,23	761.0	2.089475662934419	1590.090979493093	126	125.0	undepleted
227	5p	20,21,22,23	761.0	0.6740438211808448	512.9473479186229	127	21.0	undepleted
228	5p	20,21,22,23	761.0	0.3718356342200536	282.9669176414608	128	25.0	undepleted
229	5p	20,21,22,23	761.0	2.1499182273152644	1636.0877709869162	129	121.0	undepleted
230	5p	20,21,22,23	761.0	0.34611283117338315	263.39186452294456	130	18.0	undepleted
231	5p	20,21,22,23	761.0	0.4169980692990129	317.33553073654883	131	19.0	undepleted
232	5p	20,21,22,23	761.0	1.9047031777287093	1449.4791182515478	132	132.0	undepleted
233	5p	20,21,22,23	761.0	0.2581902702354759	196.48279564919716	133	22.0	undepleted
234	5p	20,21,22,23	761.0	0.5062398663860422	385.2485383197781	134	22.0	undepleted
235	5p	20,21,22,23	761.0	2.1764746752371344	1656.2972278554594	135	101.0	undepleted
236	5p	20,21,22,23	761.0	0.7099687146392594	540.2861918404764	136	15.0	undepleted
237	5p	20,21,22,23	761.0	0.515405893869202	392.2238852344627	137	33.0	undepleted
238	5p	20,21,22,23	761.0	1.4024973448256217	1067.300479412298	138	101.0	undepleted
239	5p	20,21,22,23	761.0	0.7128028716534036	542.4429853282402	139	25.0	undepleted
240	5p	20,21,22,23	761.0	0.7255339564928477	552.1313408910571	140	31.0	undepleted
241	5p	20,21,22,23	761.0	2.015395583887037	1533.7160393380354	141	123.0	undepleted
242	5p	20,21,22,23	761.0	0.32590303962978157	248.01221315826376	142	26.0	undepleted
243	5p	20,21,22,23	761.0	0.43828820653558825	333.53732517358264	143	31.0	undepleted
244	5p	20,21,22,23	761.0	1.4642883678112533	1114.3234479043638	144	111.0	undepleted
245	5p	20,21,22,23	761.0	0.17466961908304532	132.92358012219748	145	18.0	undepleted
246	5p	20,21,22,23	761.0	0.4448246785458654	338.51158037340355	146	23.0	undepleted
247	5p	20,21,22,23	761.0	1.4542762497948765	1106.704226093901	147	94.0	undepleted
248	5p	20,21,22,23	761.0	0.5016826120748675	381.7804677889742	148	30.0	undepleted
249	5p	20,21,22,23	761.0	0.7400288765194847	563.1619750313279	149	33.0	undepleted
250	5p	20,21,22,23	761.0	1.8765934597010687	1428.0876228325133	150	121.0	undepleted
251	5p	20,21,22,23	761.0	0.32038790672158296	243.81519701512462	151	22.0	undepleted
252	5p	20,21,22,23	761.0	0.29165364800053817	221.94842612840955	152	22.0	undepleted
253	5p	20,21,22,23	761.0	1.99900191662929	1521.2404585548898	153	93.0	undepleted
254	5p	20,21,22,23	761.0	0.46205900909898023	351.626905924324	154	24.0	undepleted
255	5p	20,21,22,23	761.0	0.15112286510581152	115.00450034552256	155	15.0	undepleted
256	5p	20,21,22,23	761.0	1.4781122393010202	1124.8434141080763	156	82.0	undepleted
257	5p	20,21,22,23	761.0	1.2088215470625032	919.913197314565	157	22.0	undepleted
258	5p	20,21,22,23	761.0	0.25193024387593194	191.7189155895842	158	15.0	undepleted
259	5p	20,21,22,23	761.0	1.9950480673624282	1518.2315792628078	159	123.0	undepleted
260	5p	20,21,22,23	761.0	0.9470246245596929	720.6857392899263	160	36.0	undepleted
261	5p	20,21,22,23	761.0	0.6182218247203743	470.4668086122049	161	32.0	undepleted
262	5p	20,21,22,23	761.0	1.968904454842278	1498.3362901349735	162	160.0	undepleted
263	5p	20,21,22,23	761.0	0.7110045592327529	541.0744695761249	163	40.0	undepleted
264	5p	20,21,22,23	761.0	0.3905604449321012	297.216498593329	164	23.0	undepleted
265	5p	20,21,22,23	761.0	1.8781779389514321	1429.2934115420398	165	101.0	undepleted
266	5p	20,21,22,23	761.0	0.2597563844425705	197.67460856079614	166	26.0	undepleted
267	5p	20,21,22,23	761.0	0.5403680007073759	411.22004853831305	167	29.0	undepleted
268	5p	20,21,22,23	761.0	2.6422468674546775	2010.7498661330096	168	123.0	undepleted
269	5p	20,21,22,23	761.0	0.40813134905511644	310.5879566309436	169	23.0	undepleted
270	5p	20,21,22,23	761.0	0.2533120077788055	192.770437919671	170	23.0	undepleted
271	5p	20,21,22,23	761.0	2.466327117974428	1876.8749367785397	171	117.0	undepleted
272	5p	20,21,22,23	761.0	1.4216044206656737	1081.8409641265778	172	33.0	undepleted
273	5p	20,21,22,23	761.0	0.4615315074926806	351.22547720192995	173	31.0	undepleted
274	5p	20,21,22,23	761.0	2.1937704328890058	1669.4592994285335	174	121.0	undepleted
275	5p	20,21,22,23	761.0	0.4275487882752276	325.3646278774482	175	24.0	undepleted
276	5p	20,21,22,23	761.0	0.47859965360037016	364.2143363898817	176	22.0	undepleted
277	5p	20,21,22,23	761.0	2.1920825926680707	1668.1748530204018	177	118.0	undepleted
278	5p	20,21,22,23	761.0	1.0956206098301016	833.7672840807072	178	30.0	undepleted
279	5p	20,21,22,23	761.0	0.8030406941216351	611.1139682265643	179	35.0	undepleted
280	5p	20,21,22,23	761.0	1.6118177128741569	1226.5932794972334	180	96.0	undepleted
281	5p	20,21,22,23	761.0	0.30136299267193256	229.33723742334067	181	17.0	undepleted
282	5p	20,21,22,23	761.0	0.21023945480882508	159.99222510951589	182	21.0	undepleted
283	5p	20,21,22,23	761.0	1.847184674976108	1405.7075376568182	183	79.0	undepleted
284	5p	20,21,22,23	761.0	0.315983304047188	240.46329437991005	184	20.0	undepleted
285	5p	20,21,22,23	761.0	0.304216707032192	231.50891405149812	185	27.0	undepleted
286	5p	20,21,22,23	761.0	2.0216970547643123	1538.5114586756415	186	84.0	undepleted
287	5p	20,21,22,23	761.0	0.7090937079892349	539.6203117798077	187	21.0	undepleted
288	5p	20,21,22,23	761.0	0.44413417009985884	337.98610344599257	188	24.0	undepleted
289	5p	20,21,22,23	761.0	1.0857596386008752	826.2630849752661	189	89.0	undepleted
290	5p	20,21,22,23	761.0	0.5547648665610921	422.1760634529911	190	25.0	undepleted
291	5p	20,21,22,23	761.0	0.4692607244921471	357.10741133852395	191	30.0	undepleted
292	5p	20,21,22,23	761.0	2.0326732876007934	1546.8643718642036	192	114.0	undepleted
293	5p	20,21,22,23	761.0	0.46087510792400227	350.72595713016574	193	22.0	undepleted
294	5p	20,21,22,23	761.0	0.7762420646287912	590.7202111825101	194	39.0	undepleted
295	5p	20,21,22,23	761.0	1.6966636416611975	1291.1610313041713	195	105.0	undepleted
296	5p	20,21,22,23	761.0	0.45127996139195425	343.4240506192772	196	21.0	undepleted
297	5p	20,21,22,23	761.0	0.48928518283363165	372.3460241363937	197	27.0	undepleted
298	5p	20,21,22,23	761.0	1.8891220855598865	1437.6219071110736	198	102.0	undepleted
299	5p	20,21,22,23	761.0	0.6582441768894259	500.9238186128531	199	24.0	undepleted
300	5p	20,21,22,23	761.0	0.847525463202517	644.9668774971154	200	29.0	undepleted
0	3p	20,21,22,23	550.25	0.18583654839932856	102.25656075673054	-100	6.0	undepleted
1	3p	20,21,22,23	553.0	0.1347558113966715	74.51996370235935	-99	3.0	undepleted
2	3p	20,21,22,23	556.0	0.48376081743301014	268.9710144927536	-98	4.0	undepleted
3	3p	20,21,22,23	558.75	0.2201916223096505	123.03206896551723	-97	5.0	undepleted
4	3p	20,21,22,23	561.25	0.42490564543035075	238.47829349778436	-96	13.0	undepleted
5	3p	20,21,22,23	563.25	0.4050557442790863	228.14764796519535	-95	8.0	undepleted
