tx_id	gene_name	1A_noDep	2A_noDep	1B_riboZero	2B_riboZero	1C_riboCop	2C_riboCop	1D_NEB	2D_NEB
ENST00000250693.1	ART1	0	0	0	0	0	0	0	0
ENST00000367287.4	TIMM17A	14	22	61	66	29	47	14	25
ENST00000399298.7	TMEM26	0	0	0	0	0	0	0	0
ENST00000324894.12	GTPBP3	14	14	38	50	14	32	20	17
ENST00000621654.1	EPOP	1	2	1	0	0	1	0	1
ENST00000395224.6	TBX6	0	0	0	0	0	0	0	0
ENST00000641804.1	OR2G6	0	0	0	0	0	0	0	0
ENST00000542554.5	PRRG1	0	0	1	2	0	1	0	2
ENST00000305366.7	TM4SF1	0	0	0	0	0	0	0	0
ENST00000253496.3	F12	0	1	0	3	1	3	0	2
ENST00000287842.7	NRG1	0	1	0	1	1	0	0	0
ENST00000328444.5	RNASE10	0	0	0	0	0	0	0	0
ENST00000431067.2	ORM2	0	0	0	0	0	0	0	0
ENST00000371901.3	CYP4X1	1	0	2	3	0	0	0	1
ENST00000564831.5	APOBR	0	0	0	0	0	0	0	0
ENST00000598475.1	SPANXN2	0	0	0	0	0	0	0	0
ENST00000323534.4	RAP2B	2	0	12	9	2	1	0	1
ENST00000485511.5	PPP2R5D	11	14	35	36	17	32	13	15
ENST00000601181.5	CXCL17	0	0	0	0	0	0	0	0
ENST00000299957.10	CASC4	5	5	5	13	7	5	1	3
ENST00000256441.4	MRPS36	3	4	12	28	6	18	4	11
ENST00000274565.4	SPINK7	0	0	0	0	0	0	0	0
ENST00000394232.5	SV2B	0	0	0	0	0	0	0	0
ENST00000576409.5	ATPAF1	12	14	41	39	17	30	13	12
ENST00000543796.5	RAN	170	216	517	586	207	404	142	215
ENST00000472726.2	AL139300.1	17	8	22	20	2	17	10	5
ENST00000428879.5	MMADHC	14	24	77	89	27	67	39	26
ENST00000309731.11	GRAMD2A	0	0	0	0	0	0	0	0
ENST00000351072.5	XAGE5	0	0	0	0	0	0	0	0
ENST00000396825.3	FITM2	0	2	7	3	3	6	0	5
ENST00000316219.9	LILRB5	0	0	0	0	0	0	0	0
ENST00000224337.9	BLNK	0	0	0	0	0	0	0	0
ENST00000493964.5	CFAP74	0	0	0	0	0	0	0	0
ENST00000627148.2	CGA	0	0	0	0	0	0	0	0
ENST00000531433.5	SLC24A4	0	0	0	1	1	0	0	1
ENST00000402988.5	IGSF23	0	0	0	0	0	0	0	0
ENST00000285420.8	OTUD6B	4	6	10	12	6	13	1	3
ENST00000397532.7	SLC7A7	1	0	0	1	0	0	0	0
ENST00000474629.6	PARP14	0	0	0	0	0	0	0	1
ENST00000313049.9	PTH1R	0	1	0	0	0	0	0	0
ENST00000396056.6	ZNF35	3	1	4	5	1	7	3	2
ENST00000367941.6	STX7	5	9	14	10	5	14	2	6
ENST00000487903.5	ATP11A	0	0	4	3	1	3	1	2
ENST00000609686.3	GRIN2B	0	0	0	0	0	0	0	0
ENST00000611864.4	MGAT4C	0	0	0	0	0	0	0	0
ENST00000265471.9	B3GAT3	3	3	13	13	7	11	2	2
ENST00000371325.1	FAM209B	0	0	0	0	0	0	0	0
ENST00000543824.5	PHC1	3	2	7	3	2	1	2	5
ENST00000458235.5	JAK3	0	1	2	1	0	0	0	1
ENST00000306238.3	SCGB1D1	0	0	0	0	0	0	0	0
ENST00000264156.2	MCM6	50	68	170	174	64	117	41	93
ENST00000266643.5	MARCH9	1	2	3	1	1	0	0	0
ENST00000258770.7	TBRG4	22	36	46	66	22	40	17	24
ENST00000308796.10	MUCL1	0	0	0	0	0	0	0	0
ENST00000247001.9	SUGP1	3	7	12	13	5	6	4	3
ENST00000212015.10	SIRT1	7	13	31	25	14	26	11	13
ENST00000248701.8	SPINK2	0	0	0	0	0	0	0	0
ENST00000319420.3	SHISA2	1	0	1	4	0	1	3	4
ENST00000382745.8	CLCN7	9	10	15	22	13	13	8	11
ENST00000326397.9	RWDD4	1	3	5	3	2	7	1	1
ENST00000262352.7	SLC1A1	0	1	2	8	2	1	0	0
ENST00000524377.5	NTRK1	0	0	0	0	0	0	0	0
ENST00000255559.7	SLC39A11	2	0	10	2	2	2	1	0
ENST00000221980.4	ICAM5	0	0	2	1	1	0	0	0
ENST00000361548.8	GRHL3	0	0	0	1	0	0	0	0
ENST00000254108.11	FUS	159	194	376	477	193	314	97	145
ENST00000447404.6	STRBP	8	5	27	35	7	14	7	7
ENST00000353704.2	CREB3	2	6	11	11	3	7	6	4
ENST00000444614.7	CCDC122	0	0	1	3	0	1	0	0
ENST00000358536.8	PLXNB1	0	1	1	0	0	1	1	1
ENST00000380701.7	CCDC171	1	0	0	2	2	2	0	0
ENST00000263897.9	USE1	1	2	7	7	4	9	1	4
ENST00000360844.6	SIGLEC14	0	0	0	0	0	0	0	0
ENST00000321331.11	HIGD1A	18	22	45	48	17	35	12	37
ENST00000265379.10	COL6A5	0	0	0	0	1	1	0	0
ENST00000329992.12	ATAT1	1	1	11	1	5	3	1	1
ENST00000291890.8	NCR1	0	0	0	0	0	0	0	0
ENST00000456397.6	TM2D2	3	5	18	12	4	11	7	6
ENST00000353487.6	SPPL3	3	1	15	14	5	10	3	8
ENST00000337080.7	ZNF444	4	3	9	14	2	5	6	9
ENST00000405260.5	PASK	7	1	9	13	4	8	2	2
ENST00000319595.5	HTR1F	0	0	0	0	0	0	0	0
ENST00000286574.8	WIF1	0	2	0	0	0	0	0	0
ENST00000372263.3	PLAC9	0	0	0	0	0	0	0	0
ENST00000340344.4	NDUFV3	1	9	10	22	9	23	7	8
ENST00000409466.6	C2orf76	0	4	2	8	2	5	5	0
ENST00000322583.4	PRR18	0	0	0	0	0	0	0	0
ENST00000398718.1	DEFB113	0	0	0	0	0	0	0	0
ENST00000251108.10	CDADC1	1	0	3	1	0	2	0	3
ENST00000331264.7	GLTPD2	0	0	0	0	0	0	0	0
ENST00000564146.3	MKRN2OS	0	0	0	0	0	0	0	0
ENST00000329410.3	C16orf54	0	0	0	0	0	0	0	0
ENST00000373993.5	A1CF	0	0	0	0	0	0	0	0
ENST00000324472.8	DPY19L2	0	1	3	0	1	1	0	0
ENST00000399218.8	GAREM1	2	4	4	6	0	3	1	2
ENST00000404774.7	MMD2	0	0	0	0	0	0	0	0
ENST00000367875.1	POGK	0	11	17	21	7	19	8	6
ENST00000326925.10	NDUFAF3	19	26	81	88	30	70	32	37
ENST00000373830.4	TRNAU1AP	3	4	15	14	3	7	3	8
ENST00000171887.8	TNS1	0	0	2	0	0	2	1	2
ENST00000379011.4	C11orf91	0	0	0	0	0	0	0	0
ENST00000393114.7	C7orf49	3	2	10	15	2	6	3	3
ENST00000367330.5	TMEM9	12	8	30	35	9	29	7	9
ENST00000330062.7	IDH2	7	15	10	24	7	16	9	5
ENST00000388833.7	TSNAXIP1	0	0	0	0	0	0	0	1
ENST00000357122.8	SPAG9	16	19	43	65	22	40	20	17
ENST00000543341.6	GTF2H3	8	3	19	23	7	19	1	19
ENST00000228284.7	SART3	11	19	34	50	15	26	12	20
ENST00000560778.2	CTXND1	0	0	0	0	0	0	0	0
ENST00000400120.3	ZNF705B	0	0	0	0	0	0	0	0
ENST00000307365.3	DDIT4	2	4	11	14	6	14	8	7
ENST00000397163.7	CAPN3	0	0	0	0	0	1	0	0
ENST00000361544.10	CDC14A	0	3	11	10	3	3	1	4
ENST00000640559.1	AC009122.1	0	0	0	0	0	0	0	0
ENST00000370398.5	KCNQ5	0	2	4	6	1	1	0	4
ENST00000279907.11	UHRF1BP1L	6	4	9	23	4	7	3	8
ENST00000223129.8	RPA3	8	18	47	75	25	34	21	31
ENST00000376221.1	AADACL4	0	0	0	0	0	0	0	0
ENST00000424061.6	SLC6A12	0	0	0	0	0	0	0	0
ENST00000376770.5	FBXO44	0	1	4	2	4	5	0	5
ENST00000369484.7	CMC4	0	1	2	0	1	0	0	1
ENST00000258229.13	PCNX2	0	1	0	0	0	0	0	1
ENST00000251089.6	ANGEL1	4	3	12	24	5	15	11	11
ENST00000430069.5	TBL1XR1	17	6	29	28	8	27	10	14
ENST00000397861.6	C17orf67	0	0	0	0	0	0	0	0
ENST00000639579.1	ATG9B	0	0	0	0	0	0	0	0
ENST00000244513.10	BTN1A1	0	0	0	0	0	0	0	0
ENST00000425673.5	PLEKHG2	1	2	7	4	0	5	3	2
ENST00000335479.2	DEFB106B	0	0	0	0	0	0	0	0
ENST00000478399.5	ADPRH	1	0	1	0	0	0	0	0
ENST00000370025.8	PRPF38B	7	10	21	32	15	32	5	7
ENST00000219302.7	NME3	6	4	12	11	4	9	2	10
ENST00000305596.7	CD2BP2	11	11	35	42	19	27	12	17
ENST00000538312.5	FAM46D	0	0	0	0	0	0	0	0
ENST00000207870.7	XYLB	7	7	14	12	8	12	2	10
ENST00000450142.6	PPP1R12A	11	12	36	40	16	24	7	10
ENST00000255631.9	HSPBP1	10	8	38	35	8	17	13	17
ENST00000267068.5	N4BP2L2	7	3	10	13	7	9	8	7
ENST00000452881.5	SPATA3	0	0	0	0	0	0	0	0
ENST00000243189.11	RSRP1	1	1	3	6	0	2	1	2
ENST00000340011.9	SPAM1	0	0	0	0	0	0	0	0
ENST00000265334.8	CDKL3	0	1	2	0	0	0	1	2
ENST00000355697.6	SFXN4	9	9	24	38	6	21	9	14
ENST00000639969.1	AC233724.19	0	0	0	0	0	0	0	0
ENST00000375915.3	FAM155A	0	0	0	0	0	0	0	0
ENST00000368167.7	CD1E	0	0	0	0	0	0	0	0
ENST00000281834.3	TNFSF4	0	0	0	0	0	0	0	0
ENST00000429344.6	CACTIN	2	3	14	6	5	8	2	2
ENST00000429967.2	APLN	0	0	0	1	0	0	0	0
ENST00000320152.10	PRTFDC1	5	3	12	10	3	7	0	3
ENST00000357460.6	HOMEZ	1	2	9	6	4	6	1	4
ENST00000372141.6	NRG3	0	0	0	0	0	0	0	0
ENST00000309733.5	C4orf32	2	0	1	2	3	1	0	2
ENST00000302937.8	TSEN34	11	16	28	48	21	26	13	15
ENST00000381213.7	MIER3	4	2	14	14	10	8	0	14
ENST00000409607.3	C7orf34	0	0	0	0	0	0	0	0
ENST00000366997.8	LPGAT1	2	7	10	16	4	8	1	3
ENST00000414202.6	RIC1	4	5	5	7	2	8	4	2
ENST00000303921.2	GPR37	0	0	1	3	1	0	0	0
ENST00000360465.7	ZNF528	0	0	0	0	0	0	0	0
ENST00000393708.3	FDX2	1	3	8	5	6	16	4	3
ENST00000298282.13	PKNOX2	0	2	3	3	1	2	2	1
ENST00000272418.6	MRPS5	20	17	35	37	20	29	9	10
ENST00000304330.8	RPAP1	7	7	15	15	8	15	5	9
ENST00000379458.8	MUC3A	0	0	0	0	1	1	0	0
ENST00000368143.5	TMEM244	0	0	0	0	0	0	0	0
ENST00000409900.7	CHN1	3	5	2	8	3	7	0	1
ENST00000374434.3	MYOM3	0	0	0	0	0	0	0	0
ENST00000380274.1	FAM50B	1	1	2	5	1	3	1	3
ENST00000340790.8	PALM3	0	2	2	3	1	0	1	0
ENST00000591899.7	UQCR11	15	19	24	42	5	26	8	14
ENST00000371139.8	SH2D1A	0	0	0	0	0	0	0	0
ENST00000378746.8	KIF3A	9	11	19	14	12	13	6	13
ENST00000367498.7	IVNS1ABP	10	5	31	30	10	29	10	12
ENST00000267970.8	TSPAN3	30	33	76	86	31	64	33	28
ENST00000568956.1	ZNF865	0	1	1	2	2	5	0	1
ENST00000296424.8	BDH2	3	8	23	24	6	15	8	17
ENST00000392979.7	ANO4	2	0	1	2	0	1	0	1
ENST00000562955.2	SZT2	2	2	6	8	1	4	2	1
ENST00000215368.3	EFNA2	0	0	0	0	0	1	0	0
ENST00000389879.9	CCNK	4	3	22	24	13	19	8	6
ENST00000558017.5	GDPGP1	5	3	2	2	3	6	1	5
ENST00000338891.11	FAM184A	0	5	3	6	0	3	3	1
ENST00000550804.5	CALCOCO1	1	7	6	13	6	7	3	4
ENST00000541347.5	CX3CR1	0	0	0	0	0	0	0	0
ENST00000325558.10	PGA3	0	0	0	0	0	0	0	0
ENST00000383763.5	TRIM71	1	0	2	4	1	1	2	1
ENST00000233948.3	WNT6	0	0	0	0	0	0	0	0
ENST00000361847.6	MOK	0	2	1	4	3	2	2	2
ENST00000222248.3	SLC5A5	0	0	1	0	0	0	0	0
ENST00000373095.5	FAM102A	1	0	0	1	0	2	0	0
ENST00000398130.6	KIAA1468	7	7	12	18	2	10	3	14
ENST00000409134.7	ALDH7A1	14	18	41	52	21	37	18	27
ENST00000393276.7	DENND2C	2	2	0	2	1	6	2	0
ENST00000263932.6	TNFRSF8	0	0	0	0	0	0	0	0
ENST00000334325.1	SPATA12	0	0	0	0	0	0	0	0
ENST00000397062.7	NFE2L2	7	8	28	27	8	12	11	10
ENST00000370375.7	C1orf146	0	0	0	0	0	0	0	0
ENST00000338005.6	CCDC183	0	0	1	0	0	0	0	0
ENST00000342022.8	CCDC30	0	0	0	0	0	0	0	0
ENST00000361059.7	MATR3	52	52	149	160	50	100	45	68
ENST00000296499.5	NDST3	0	0	0	0	0	0	0	0
ENST00000391418.3	KRTAP2-3	0	0	0	0	0	0	0	0
ENST00000374171.4	POLE3	14	11	20	42	11	17	4	8
ENST00000637698.1	RP1	0	0	1	0	0	0	0	0
ENST00000615863.1	CCL4	0	0	0	0	0	0	0	0
ENST00000371431.7	AKAP14	0	0	0	0	0	0	0	0
ENST00000406070.6	PSG7	0	0	0	0	0	0	0	0
ENST00000374403.3	KIF4A	17	13	32	36	16	30	6	19
ENST00000382826.2	KRTAP20-3	0	0	0	0	0	0	0	0
ENST00000373631.7	CRB2	0	1	0	0	0	1	0	0
ENST00000558480.6	RASGRF1	0	0	0	0	0	0	0	0
ENST00000366697.6	TRIM17	0	0	0	0	0	0	0	0
ENST00000600128.5	FBN3	0	0	0	1	0	0	0	1
ENST00000280871.8	SLC2A13	1	0	6	5	2	1	2	5
ENST00000316436.3	LSMEM2	0	0	0	0	0	0	0	0
ENST00000228928.11	OAS3	0	0	0	0	1	1	1	0
ENST00000263867.8	CAPG	0	2	1	1	0	2	0	0
ENST00000377991.9	TMEM8B	0	1	0	0	2	1	0	0
ENST00000215739.12	LZTR1	7	6	14	20	6	14	5	10
ENST00000239587.9	TTLL2	0	0	0	0	0	0	0	0
ENST00000283684.8	ATP8B1	0	0	0	0	0	0	0	0
ENST00000238682.7	TGFB3	0	0	2	1	0	2	0	0
ENST00000424957.7	MEPE	0	0	0	0	0	0	0	0
ENST00000396356.7	SOX6	0	1	0	1	0	2	0	1
ENST00000395366.2	PPP1CB	19	39	82	90	31	51	24	33
ENST00000307503.3	AGXT	0	0	0	0	0	0	0	0
ENST00000255882.10	PI4KA	18	18	44	63	30	37	15	29
ENST00000613397.4	BIRC2	5	6	5	9	4	13	4	4
ENST00000448903.6	AP2A2	12	14	38	31	18	31	21	27
ENST00000355451.7	NUDCD3	8	10	19	28	7	12	9	13
ENST00000368563.6	TUBGCP2	23	15	48	58	23	48	20	27
ENST00000379705.7	TRPC4	0	0	0	0	0	0	0	0
ENST00000332624.7	TRAK2	1	1	3	6	1	3	1	0
ENST00000355526.8	DPF1	3	1	7	4	0	1	0	1
ENST00000271526.8	PRCC	19	14	34	35	23	31	7	17
ENST00000568449.5	EME2	1	1	1	3	0	0	0	0
ENST00000450456.2	GJE1	0	0	0	0	0	0	0	0
ENST00000216044.9	GTPBP1	9	14	29	49	9	26	16	11
ENST00000354190.9	PLEKHB1	0	0	4	4	2	2	1	0
ENST00000303177.7	HGNC:24955	0	0	0	0	0	0	0	0
ENST00000641256.1	OR1C1	0	0	0	0	0	0	0	0
ENST00000361937.7	INO80	2	2	9	13	2	4	2	4
ENST00000373116.5	MRPS15	13	18	37	32	12	31	17	16
ENST00000578189.1	NBPF19	0	0	3	1	0	2	0	2
ENST00000406384.5	RMDN2	1	1	0	1	3	1	0	2
ENST00000370693.5	BAG2	3	9	14	17	4	10	2	9
ENST00000395074.6	LPXN	2	0	0	1	0	0	0	0
ENST00000337777.7	PLS1	8	6	18	25	14	20	8	13
ENST00000616640.1	RPP38	4	4	11	15	6	7	5	8
ENST00000483273.2	UQCRHL	6	11	23	37	11	27	17	26
ENST00000578681.5	DDX42	19	20	43	40	21	43	15	20
ENST00000247194.8	L3HYPDH	9	4	11	16	8	10	2	6
ENST00000347077.8	ZNF546	1	1	1	3	0	1	0	0
ENST00000440890.6	BMPR1B	1	0	0	1	2	2	0	0
ENST00000398604.2	PCDHGA8	0	0	0	1	0	0	1	0
ENST00000310045.7	DSEL	0	1	0	1	0	0	0	0
ENST00000394249.7	PRC1	31	32	79	93	42	70	46	50
ENST00000375071.3	CDA	0	1	1	0	0	0	0	0
ENST00000400198.7	ARGLU1	3	6	9	13	0	5	4	10
ENST00000388948.7	LRRK1	0	0	0	1	0	0	1	0
ENST00000392552.6	GPR155	2	2	1	4	1	4	0	3
ENST00000306072.9	ISG20	0	0	0	0	0	0	0	0
ENST00000428135.7	SNX13	3	3	6	10	2	3	3	5
ENST00000231136.3	PCDHB6	0	0	0	0	0	0	0	0
ENST00000614701.4	PTPRQ	0	0	0	0	0	0	0	0
ENST00000327619.9	EYA2	3	4	4	5	2	0	0	2
ENST00000366933.4	SPATA17	1	0	2	1	0	0	0	0
ENST00000380050.7	CDK14	2	0	3	0	0	1	1	0
ENST00000581977.6	IKBKE	0	0	0	0	0	1	0	0
ENST00000337979.8	STX3	1	1	4	6	2	2	0	1
ENST00000398587.6	PCDHGA11	1	3	2	2	2	3	4	5
ENST00000259608.7	SIT1	0	0	0	0	0	0	0	0
ENST00000329492.5	MAPK8IP2	9	2	12	12	3	8	4	10
ENST00000454971.2	GPR42	0	0	0	0	0	0	0	0
ENST00000324727.8	SCN4B	0	0	1	0	0	0	0	0
ENST00000324170.7	ZCCHC10	3	3	8	7	2	6	4	3
ENST00000279168.6	GPHA2	0	0	0	0	0	0	0	0
ENST00000290974.6	ZFYVE28	0	0	0	0	2	0	0	0
ENST00000314425.9	ZMYM3	12	14	38	38	16	22	10	20
ENST00000418331.6	PTPRJ	0	3	4	3	0	6	0	0
ENST00000244050.2	SNAI1	0	0	1	1	0	0	0	0
ENST00000327668.11	ZNF84	0	1	2	4	1	2	1	1
ENST00000375263.7	HSD17B3	0	0	0	0	0	0	0	0
ENST00000355673.7	MBD6	3	4	2	5	4	5	1	2
ENST00000358365.7	RHOT1	2	4	9	9	9	5	2	2
ENST00000302625.5	CDK5R2	0	0	0	2	0	0	0	0
ENST00000359236.9	VSIG10	0	0	0	0	0	1	0	0
ENST00000367156.7	KLHDC8A	0	0	0	0	0	0	0	0
ENST00000273258.3	ARL6IP5	6	14	23	51	18	33	15	21
ENST00000374273.7	SPAG4	0	0	0	0	0	0	0	3
ENST00000334058.2	KRTAP19-4	0	0	0	0	0	0	0	0
ENST00000600767.5	KLK8	0	0	0	0	1	0	0	1
ENST00000216862.7	CYP24A1	0	0	0	0	0	0	0	0
ENST00000303592.3	KCNJ4	0	0	0	0	0	0	0	0
ENST00000397967.4	RNASE1	0	0	0	0	0	0	0	0
ENST00000354725.7	SND1	38	58	123	161	49	106	37	83
ENST00000301399.11	ZNF577	0	0	0	0	0	0	0	0
ENST00000508192.5	MARK2	8	9	22	29	15	25	7	10
ENST00000377024.7	C9orf57	0	0	0	0	0	0	0	0
ENST00000361573.2	SLC9A8	0	2	4	6	2	4	0	1
ENST00000287878.8	PRKAG2	0	0	7	4	2	4	1	2
ENST00000373337.3	TMEM35B	5	1	4	6	0	5	0	2
ENST00000377459.2	HIST1H2AH	117	169	364	451	149	301	194	275
ENST00000397977.7	INTS10	5	7	18	16	8	14	11	6
ENST00000612967.2	C5orf56	0	0	0	0	0	0	0	0
ENST00000287482.5	SASS6	6	13	18	24	7	20	14	20
ENST00000159087.6	ANO8	1	2	1	0	1	3	2	3
ENST00000267202.6	VPS37B	2	1	6	10	1	4	0	4
ENST00000297459.3	TMEM74	0	2	0	3	1	1	2	1
ENST00000320005.5	CNGB3	0	0	0	0	0	0	0	0
ENST00000262288.7	SCPEP1	7	15	33	36	7	29	13	13
ENST00000431232.6	TMEM8A	2	0	6	4	3	1	2	7
ENST00000308497.8	STOX2	1	1	1	1	2	0	0	2
ENST00000261733.6	ALDH2	8	12	16	26	13	15	4	17
ENST00000245222.8	SPHK2	2	2	2	2	1	2	0	0
ENST00000535286.5	TDRD3	2	3	11	12	0	2	3	5
ENST00000368742.3	LOR	0	0	0	0	0	1	0	0
ENST00000397826.7	FAM207A	10	8	15	32	10	24	10	10
ENST00000434634.6	WDR73	6	14	15	24	3	7	7	4
ENST00000244174.10_PAR_Y	IL9R	0	0	0	0	0	0	0	0
ENST00000396168.1	PTPN5	0	0	0	0	0	1	0	0
ENST00000538724.5	RERGL	0	0	0	0	0	0	0	0
ENST00000438763.6	HLA-DOB	0	0	0	0	0	0	0	0
ENST00000394767.2	CXXC4	1	0	0	2	1	1	0	1
ENST00000378644.4	SYCE1L	0	0	0	0	0	0	0	0
ENST00000272367.6	CLEC4F	0	0	0	0	0	0	0	0
ENST00000374259.7	FOXO4	3	2	3	4	2	3	5	0
ENST00000498907.2	CEBPA	3	2	5	8	3	2	2	1
ENST00000581312.5	OTUD7B	4	3	9	11	3	10	2	9
ENST00000609117.5	SYT6	0	0	1	0	1	0	0	0
ENST00000373664.7	RBL1	8	3	15	24	5	11	4	14
ENST00000308736.6	DHX37	19	20	52	45	21	37	9	23
ENST00000295666.6	IGFBP7	0	0	0	0	0	0	0	0
ENST00000556626.5	SPTB	0	0	3	6	1	4	1	3
ENST00000442039.2	C16orf91	2	5	2	6	1	4	1	1
ENST00000366810.5	MIXL1	0	0	1	0	0	0	0	0
ENST00000273691.7	ILDR1	0	0	0	0	0	0	0	0
ENST00000277632.7	MINDY3	4	5	14	17	6	17	8	8
ENST00000310496.8	RFNG	2	2	7	4	0	3	1	7
ENST00000262982.2	CSE1L	118	136	319	355	143	264	137	226
ENST00000243103.3	HOXC12	1	1	0	0	0	0	0	0
ENST00000366806.6	AFDN	13	19	60	51	25	30	10	15
ENST00000527246.3	PBOV1	0	0	0	0	0	0	0	0
ENST00000305817.2	PRND	0	0	0	0	0	0	0	0
ENST00000374720.7	SLC44A1	4	9	21	18	6	22	8	6
ENST00000318282.9	MKL2	1	2	11	10	0	5	1	9
ENST00000305533.9	TWF2	4	8	26	25	3	18	9	9
ENST00000258317.6	NPL	2	1	3	2	3	3	0	1
ENST00000294981.8	MAPKAPK2	4	3	6	8	1	4	3	1
ENST00000339560.9	PODNL1	0	0	0	0	0	0	0	0
ENST00000335847.8	CRISP1	0	0	0	0	0	0	0	0
ENST00000616623.4	CRY2	1	0	5	5	2	5	2	0
ENST00000398814.7	CCDC33	0	0	0	0	0	0	0	0
ENST00000338482.5	CHST4	0	0	0	0	0	0	0	0
ENST00000215659.12	MAPK12	4	6	3	4	3	7	0	4
ENST00000335093.4	KRTAP21-1	0	0	0	0	0	0	0	0
ENST00000523037.5	MRPL22	14	18	47	68	18	32	19	22
ENST00000627532.2	ZEB2	0	5	8	9	2	4	3	2
ENST00000379568.3	PAK1IP1	7	7	18	24	10	18	8	12
ENST00000262803.9	UPF1	21	33	71	73	29	51	12	43
ENST00000334056.9	SPDYA	0	0	0	0	0	0	0	0
ENST00000441493.6	MICAL3	6	5	11	15	3	9	4	3
ENST00000375464.6	CARD19	0	1	5	14	1	4	2	3
ENST00000419982.3	CT47A12	0	0	0	0	0	0	0	0
ENST00000310397.12	SNED1	0	0	0	0	1	3	0	0
ENST00000254051.10	TNS4	0	0	0	0	0	0	0	0
ENST00000372754.5	MATN4	0	0	0	0	0	0	0	0
ENST00000263681.6	POLD3	6	10	12	19	8	16	4	7
ENST00000594211.1	KLK9	0	0	0	0	0	0	0	0
ENST00000379410.7	PLEKHN1	0	0	0	0	0	0	0	1
ENST00000369915.7	TKTL1	0	0	0	0	0	0	0	0
ENST00000343457.3	LRRC66	0	0	0	0	0	0	0	0
ENST00000310604.8	DCAKD	8	9	16	13	6	8	3	14
