tx_id	gene_name	undepleted	oligo_depletion
ENST00000307503.3	AGXT	0	0
ENST00000255882.10	PI4KA	116	874
ENST00000613397.4	BIRC2	30	118
ENST00000448903.6	AP2A2	121	789
ENST00000355451.7	NUDCD3	76	413
ENST00000368563.6	TUBGCP2	108	695
ENST00000379705.7	TRPC4	0	0
ENST00000332624.7	TRAK2	8	45
ENST00000355526.8	DPF1	12	59
ENST00000271526.8	PRCC	156	899
ENST00000568449.5	EME2	4	12
ENST00000450456.2	GJE1	0	0
ENST00000216044.9	GTPBP1	59	437
ENST00000354190.9	PLEKHB1	12	42
ENST00000303177.7	HGNC:24955	0	0
ENST00000641256.1	OR1C1	0	0
ENST00000361937.7	INO80	17	118
ENST00000373116.5	MRPS15	78	633
ENST00000578189.1	NBPF19	0	12
ENST00000406384.5	RMDN2	1	20
ENST00000370693.5	BAG2	28	207
ENST00000395074.6	LPXN	0	5
ENST00000337777.7	PLS1	22	192
ENST00000616640.1	RPP38	21	126
ENST00000483273.2	UQCRHL	113	600
ENST00000578681.5	DDX42	110	715
ENST00000247194.8	L3HYPDH	24	169
ENST00000347077.8	ZNF546	3	11
ENST00000440890.6	BMPR1B	2	18
ENST00000398604.2	PCDHGA8	0	2
ENST00000310045.7	DSEL	7	6
ENST00000394249.7	PRC1	182	1222
ENST00000375071.3	CDA	3	10
ENST00000400198.7	ARGLU1	25	156
ENST00000388948.7	LRRK1	0	1
ENST00000392552.6	GPR155	1	20
ENST00000306072.9	ISG20	1	1
ENST00000428135.7	SNX13	12	66
ENST00000231136.3	PCDHB6	1	4
ENST00000614701.4	PTPRQ	0	0
ENST00000327619.9	EYA2	11	67
ENST00000366933.4	SPATA17	1	11
ENST00000380050.7	CDK14	7	28
ENST00000581977.6	IKBKE	0	8
ENST00000337979.8	STX3	12	45
ENST00000398587.6	PCDHGA11	3	28
ENST00000259608.7	SIT1	0	0
ENST00000329492.5	MAPK8IP2	16	133
ENST00000454971.2	GPR42	0	0
ENST00000324727.8	SCN4B	0	1
ENST00000324170.7	ZCCHC10	15	91
ENST00000279168.6	GPHA2	0	0
ENST00000290974.6	ZFYVE28	0	5
ENST00000314425.9	ZMYM3	74	373
ENST00000418331.6	PTPRJ	6	45
ENST00000244050.2	SNAI1	0	16
ENST00000327668.11	ZNF84	8	40
ENST00000375263.7	HSD17B3	0	0
ENST00000355673.7	MBD6	10	76
ENST00000358365.7	RHOT1	26	146
ENST00000302625.5	CDK5R2	0	0
ENST00000359236.9	VSIG10	2	10
ENST00000367156.7	KLHDC8A	0	0
ENST00000273258.3	ARL6IP5	44	267
ENST00000398634.6	C2orf73	0	0
ENST00000374273.7	SPAG4	2	10
ENST00000334058.2	KRTAP19-4	0	0
ENST00000600767.5	KLK8	5	32
ENST00000216862.7	CYP24A1	0	0
ENST00000303592.3	KCNJ4	1	3
ENST00000397967.4	RNASE1	0	0
ENST00000354725.7	SND1	514	3233
ENST00000301399.11	ZNF577	1	5
ENST00000508192.5	MARK2	47	337
ENST00000377024.7	C9orf57	0	0
ENST00000361573.2	SLC9A8	7	51
ENST00000287878.8	PRKAG2	4	40
ENST00000373337.3	TMEM35B	6	43
ENST00000377459.2	HIST1H2AH	989	6513
ENST00000397977.7	INTS10	38	220
ENST00000612967.2	C5orf56	0	1
ENST00000287482.5	SASS6	25	246
ENST00000159087.6	ANO8	5	22
ENST00000267202.6	VPS37B	17	120
ENST00000297459.3	TMEM74	10	25
ENST00000320005.5	CNGB3	0	0
ENST00000262288.7	SCPEP1	34	262
ENST00000431232.6	TMEM8A	6	37
ENST00000308497.8	STOX2	5	35
ENST00000261733.6	ALDH2	110	590
ENST00000245222.8	SPHK2	12	51
ENST00000535286.5	TDRD3	11	69
ENST00000368742.3	LOR	0	2
ENST00000397826.7	FAM207A	67	359
ENST00000434634.6	WDR73	56	373
ENST00000244174.10_PAR_Y	IL9R	0	2
ENST00000396168.1	PTPN5	0	1
ENST00000538724.5	RERGL	0	0
ENST00000438763.6	HLA-DOB	0	1
ENST00000394767.2	CXXC4	2	19
ENST00000378644.4	SYCE1L	3	10
ENST00000272367.6	CLEC4F	1	0
ENST00000374259.7	FOXO4	5	42
ENST00000498907.2	CEBPA	17	102
ENST00000581312.5	OTUD7B	26	157
ENST00000609117.5	SYT6	4	7
ENST00000373664.7	RBL1	35	177
ENST00000308736.6	DHX37	124	843
ENST00000295666.6	IGFBP7	1	7
ENST00000556626.5	SPTB	3	18
ENST00000442039.2	C16orf91	14	80
ENST00000366810.5	MIXL1	0	0
ENST00000273691.7	ILDR1	0	0
ENST00000277632.7	MINDY3	36	211
ENST00000310496.8	RFNG	3	48
ENST00000262982.2	CSE1L	598	4015
ENST00000243103.3	HOXC12	0	0
ENST00000366806.6	AFDN	108	712
ENST00000527246.3	PBOV1	0	0
ENST00000305817.2	PRND	0	0
ENST00000374720.7	SLC44A1	27	173
ENST00000318282.9	MKL2	19	128
ENST00000305533.9	TWF2	65	360
ENST00000258317.6	NPL	10	65
ENST00000294981.8	MAPKAPK2	15	123
ENST00000339560.9	PODNL1	0	0
ENST00000335847.8	CRISP1	0	0
ENST00000616623.4	CRY2	18	83
ENST00000398814.7	CCDC33	0	1
ENST00000338482.5	CHST4	0	1
ENST00000215659.12	MAPK12	15	59
ENST00000335093.4	KRTAP21-1	0	0
ENST00000523037.5	MRPL22	130	797
ENST00000627532.2	ZEB2	10	88
ENST00000379568.3	PAK1IP1	52	339
ENST00000262803.9	UPF1	226	1333
ENST00000334056.9	SPDYA	0	0
ENST00000441493.6	MICAL3	17	132
ENST00000375464.6	CARD19	8	84
ENST00000419982.3	CT47A12	0	0
ENST00000310397.12	SNED1	3	12
ENST00000254051.10	TNS4	0	0
ENST00000372754.5	MATN4	0	0
ENST00000263681.6	POLD3	39	232
ENST00000594211.1	KLK9	0	0
ENST00000379410.7	PLEKHN1	0	0
ENST00000369915.7	TKTL1	0	1
ENST00000343457.3	LRRC66	0	0
ENST00000310604.8	DCAKD	59	285
ENST00000250124.10	MPDU1	72	466
ENST00000424789.6	TANC2	15	98
ENST00000282296.9	ZNF551	9	42
ENST00000225430.8	RPL19	1934	12064
ENST00000302558.7	RGPD8	26	155
ENST00000519948.3	ATXN7L3B	39	213
ENST00000299237.2	ZNF319	7	72
ENST00000426216.6	ATP9B	16	66
ENST00000244534.6	HIST1H1D	127	811
ENST00000346562.6	NPAS3	0	1
ENST00000325239.11	WDFY4	0	0
ENST00000291232.4	TNFRSF13C	0	2
ENST00000263228.3	UBE2R2	40	274
ENST00000556573.5	TMEM179	0	3
ENST00000261439.8	TBC1D1	18	79
ENST00000617537.4	AOAH	0	0
ENST00000261304.6	GALC	1	20
ENST00000326446.9	ARL6IP6	26	191
ENST00000555591.1	AL096870.1	0	0
ENST00000521180.5	ST3GAL1	1	25
ENST00000372582.5	IL1RAPL2	0	0
ENST00000376180.7	ITGBL1	0	0
ENST00000308251.5	KCNG4	0	1
ENST00000322313.8	WDR33	94	587
ENST00000328600.2	NLRP10	0	0
ENST00000369301.3	NHLRC2	63	404
ENST00000259526.3	NOV	0	0
ENST00000304430.9	NUDT6	2	21
ENST00000336689.7	ASAP3	6	31
ENST00000322716.7	EPM2AIP1	0	1
ENST00000594684.1	AC003006.1	3	9
ENST00000358065.4	SETMAR	12	114
ENST00000511166.1	CCDC169-SOHLH2	0	0
ENST00000379405.3	PRSS3	0	0
ENST00000256737.7	ANO3	0	0
ENST00000369762.6	ATP6AP1	181	987
ENST00000590918.5	GIPR	0	2
ENST00000265643.3	GAL	59	409
ENST00000367983.8	NR1I3	0	0
ENST00000392209.7	CCNYL1	5	32
ENST00000593751.7	FAM156B	1	15
ENST00000641251.1	OR4C6	0	0
ENST00000611217.4	POTEB3	0	0
ENST00000599612.2	MPV17L2	50	347
ENST00000357666.8	ZNF816	2	8
ENST00000615550.4	PRIM2	57	345
ENST00000312134.2	CST6	0	0
ENST00000261590.12	DSG2	111	661
ENST00000368738.3	S100A9	0	0
ENST00000634607.1	PHF14	63	378
ENST00000262290.8	LPO	1	0
ENST00000318124.3	DEFB103B	0	0
ENST00000370187.7	BTRC	32	162
ENST00000335987.7	OVOL1	0	0
ENST00000334512.9	ZMIZ1	28	196
ENST00000356443.8	MYOM1	0	1
ENST00000448803.6	ZSCAN2	8	58
ENST00000312106.5	CATSPER1	0	0
ENST00000402971.3	OR6B2	0	0
ENST00000232888.6	RRP9	90	666
ENST00000485713.5	SLC4A2	96	506
ENST00000450845.6	SPATA24	5	27
ENST00000310144.10	PSMC5	196	1240
ENST00000353479.9	COL17A1	0	0
ENST00000368508.7	ROS1	0	0
ENST00000374051.7	NLGN3	0	0
ENST00000371485.7	CEP55	51	233
ENST00000407236.5	PPARA	3	7
ENST00000228251.8	YBX3	362	2091
ENST00000450966.5	USP40	17	63
ENST00000205948.10	APOH	0	0
ENST00000338165.8	EME1	19	144
ENST00000367993.7	NDUFS2	243	1306
ENST00000541970.5	PDCD2	126	753
ENST00000415641.7	NBPF4	0	0
ENST00000555938.1	AC011448.1	102	639
ENST00000589666.5	UNK	14	120
ENST00000287380.5	TBC1D31	19	190
ENST00000400841.7_PAR_Y	CRLF2	0	0
ENST00000258829.5	NKX2-8	1	14
ENST00000367090.3	TMEM181	21	144
ENST00000360423.11	SULT1A4	1	11
ENST00000181383.8	CPB2	0	0
ENST00000326637.7	TNNI3K	0	2
ENST00000430121.2	FAM198A	0	8
ENST00000311659.4	UBQLN3	0	0
ENST00000404257.5	NEU4	0	0
ENST00000518699.3	NKX6-3	0	0
ENST00000299705.9	TMED3	48	280
ENST00000299459.2	OR2D2	0	0
ENST00000448100.6	ZGPAT	17	116
ENST00000417563.2	TEX50	0	0
ENST00000576730.5	MCRIP1	42	199
ENST00000367267.5	SYT2	3	15
ENST00000291700.8	S100B	0	0
ENST00000345365.10	RAD51D	6	56
ENST00000303545.3	RNF139	15	80
ENST00000373115.4	CHST3	0	22
ENST00000369583.3	DUSP5	4	19
ENST00000373884.5	XKR8	7	37
ENST00000416284.7	FAM19A2	0	1
ENST00000335999.6	NCKAP5L	36	150
ENST00000641663.1	OR2A25	0	0
ENST00000619757.4	HIC1	1	3
ENST00000394532.7	BAD	24	129
ENST00000641093.1	OR14A16	0	0
ENST00000355705.3	PLGLB1	0	0
ENST00000369478.3	CD2	0	0
ENST00000340363.9	C17orf99	0	0
ENST00000509578.1	COX7C	431	2703
ENST00000542678.5	ABCB9	4	38
ENST00000394752.7	SFMBT1	11	75
ENST00000428112.6	MKNK1	22	122
ENST00000381638.6	ZZEF1	39	232
ENST00000216037.10	XBP1	41	236
ENST00000294678.6	ODF2L	13	55
ENST00000218099.6	F9	0	0
ENST00000446157.2	MUSTN1	0	0
ENST00000511556.5	ZNF135	0	1
ENST00000312891.2	GJC3	0	0
ENST00000622500.1	GPIHBP1	0	0
ENST00000295240.7	BBS5	5	33
ENST00000533490.6	ZAR1L	0	0
ENST00000610540.4	CAB39L	1	2
ENST00000339355.2	TCTEX1D4	0	0
ENST00000431473.3	RIMKLA	4	18
ENST00000250111.8	ATP1B2	5	39
ENST00000251582.11	ADAMTS2	4	49
ENST00000612183.4	FAM71D	0	0
ENST00000419275.2	PPIAL4G	76	598
ENST00000543753.5	KRTCAP3	0	0
ENST00000263196.11	DGCR2	44	271
ENST00000357736.8	MAFG	1	21
ENST00000264963.8	LMAN2L	20	115
ENST00000289013.10	RHPN1	1	21
ENST00000302851.7	ZNF561	13	81
ENST00000302097.3	ZNF280A	0	3
ENST00000318245.5	LMO7DN	0	0
ENST00000376854.5	C9orf40	38	251
ENST00000258494.13	ALDH1L2	67	456
ENST00000620676.4	VPS13D	42	227
ENST00000587091.5	SLC16A2	59	224
ENST00000402685.6	PDZRN4	0	0
ENST00000269967.3	CCDC97	52	315
ENST00000274031.7	SETD7	53	234
ENST00000370855.5	SLC44A5	4	20
ENST00000507866.6	SORCS2	1	5
ENST00000356818.6	PPP1R26	6	40
ENST00000372469.5	PRRX2	2	10
ENST00000329146.8	CRIP2	4	28
ENST00000335749.4	TNRC6C	12	75
ENST00000251170.11	SEC14L5	0	0
ENST00000293670.3	KRT83	0	4
ENST00000297313.7	RGS20	2	3
ENST00000319190.9	TTC7A	3	41
ENST00000380639.9	PTCD2	13	86
ENST00000264735.2	HRASLS	4	37
ENST00000367434.4	B3GALT2	0	0
ENST00000276708.8	GSDMC	0	0
ENST00000599218.5	PRICKLE3	9	64
ENST00000424439.2	NHLRC4	0	0
ENST00000371037.8	SGIP1	0	0
ENST00000375661.5	LSM2	56	352
ENST00000334352.8	USP16	35	250
ENST00000216264.12	CERK	27	177
ENST00000355264.8	AP3M1	68	509
ENST00000318683.6	B3GNT3	0	1
ENST00000257075.9	PUM1	157	984
ENST00000431350.6	TLK1	20	109
ENST00000398208.2	WDR4	64	408
ENST00000367569.3	SF3B5	117	802
ENST00000380198.6	NABP2	29	213
ENST00000449105.7	HNRNPLL	51	264
ENST00000373048.8	EPHA10	0	2
ENST00000420323.6	DNAH1	1	11
ENST00000220509.9	VPS18	36	228
ENST00000181839.8	CDK13	44	346
ENST00000334063.5	KRTAP19-3	0	1
ENST00000284322.9	ABI3BP	1	7
ENST00000332503.5	HOXB4	1	18
ENST00000622845.4	RMND1	7	68
ENST00000231887.7	EHHADH	7	55
ENST00000368409.7	EFNA4	1	18
ENST00000221856.10	FSD1	20	117
ENST00000601538.5	SHANK2	0	1
ENST00000313468.9	NDUFS8	222	1307
ENST00000396333.3	GPRC5D	0	0
ENST00000369111.8	CA14	0	0
ENST00000366510.3	SCCPDH	40	264
ENST00000359358.8	KLHL14	2	5
ENST00000396153.6	FAF1	85	525
ENST00000252655.1	RSPH3	7	42
ENST00000361673.3	ALPK2	0	0
ENST00000337137.8	TBC1D22A	13	120
ENST00000263593.7	SIAE	7	85
ENST00000373580.7	OLFML2A	0	11
ENST00000342192.8	UBE2L3	141	922
ENST00000340692.9	MOCS1	12	72
ENST00000269122.7	CLTC	541	3418
ENST00000403751.7	GTF2A1L	0	0
ENST00000276055.3	CHST7	5	32
ENST00000371933.7	EFCAB14	11	27
ENST00000405954.1	DUSP28	3	25
ENST00000377604.7	RBM10	72	464
ENST00000253109.4	ANGPTL6	1	3
ENST00000370668.7	SAMD13	1	1
ENST00000316999.9	SMAP1	36	291
ENST00000261336.6	PZP	0	0
ENST00000317121.5	OR56B1	0	0
ENST00000369849.8	INA	16	111
ENST00000261880.9	AAGAB	78	482
ENST00000340828.6	CCNG1	131	755
ENST00000228437.9	PRDM4	25	137
ENST00000389744.8	KLC1	42	319
ENST00000286835.11	SCAF4	93	581
ENST00000367660.3	ABRACL	24	205
ENST00000360537.6	PLAGL1	10	99
ENST00000642069.1	AC068987.5	0	0
ENST00000342166.9	DPY30	54	370
ENST00000376592.6	MTHFR	7	69
ENST00000381801.5	MTMR6	31	180
ENST00000323570.7	ELMOD2	35	186
ENST00000522796.1	HMGB4	0	0
ENST00000216271.9	HDAC10	6	57
ENST00000324324.11	MYEF2	18	159
ENST00000395499.5	AGPAT1	30	177
ENST00000285407.10	KLF10	11	103
ENST00000378278.6	DCLRE1C	7	32
ENST00000465271.5	CNIH4	63	469
ENST00000295131.2	ZSWIM2	0	0
ENST00000264071.6	TUBB4A	83	577
ENST00000321510.6	SLC25A41	0	0
ENST00000267485.7	C14orf37	5	48
ENST00000449207.6	PRDM7	0	2
ENST00000380338.8	MLLT3	18	131
ENST00000366787.7	THBS2	0	2
ENST00000344762.5	CCDC15	7	55
ENST00000639785.1	CASR	0	0
ENST00000370096.7	COL11A1	1	14
ENST00000620210.1	TBC1D3F	0	0
ENST00000535490.2	CXorf49	0	0
ENST00000613503.4	SPPL2B	11	92
ENST00000373736.6	NKAIN1	0	2
ENST00000372890.5	TRUB2	91	580
ENST00000303088.8	RFXANK	42	265
ENST00000620881.1	ELOA3D	0	0
ENST00000340093.7	PLAUR	1	13
ENST00000361439.8	NSMCE1	60	395
ENST00000294016.7	ADCY9	21	97
ENST00000368694.7	CHTOP	199	1021
ENST00000301599.6	TMEM88	0	0
ENST00000394945.5	SPOCK1	3	14
ENST00000409860.1	C4orf48	29	170
ENST00000641846.1	OR6N1	0	0
ENST00000361908.7	OPA1	60	478
ENST00000395647.6	SLC5A10	0	0
ENST00000233809.8	IGFBP2	53	434
ENST00000308868.4	LEP	0	0
ENST00000394009.4	BBOF1	0	6
ENST00000621267.4	HNRNPDL	415	2571
ENST00000325385.11	DIS3L2	15	117
