tx_id	gene_name	NEBNext_20_34	undepleted_20_34	NEBNext_20_60	undepleted_20_60
ENST00000380050.7	CDK14	0	0	0	0
ENST00000581977.6	IKBKE	0	0	0	0
ENST00000337979.8	STX3	6	5	2	0
ENST00000398587.6	PCDHGA11	0	0	0	0
ENST00000259608.7	SIT1	0	0	0	0
ENST00000329492.5	MAPK8IP2	0	0	0	0
ENST00000454971.2	GPR42	0	0	0	0
ENST00000324727.8	SCN4B	0	0	0	0
ENST00000324170.7	ZCCHC10	5	3	2	3
ENST00000279168.6	GPHA2	0	0	0	0
ENST00000290974.6	ZFYVE28	4	2	2	0
ENST00000314425.9	ZMYM3	22	17	11	5
ENST00000418331.6	PTPRJ	5	0	0	0
ENST00000244050.2	SNAI1	9	2	1	0
ENST00000327668.11	ZNF84	5	5	3	0
ENST00000375263.7	HSD17B3	0	0	0	0
ENST00000355673.7	MBD6	1	0	0	0
ENST00000358365.7	RHOT1	2	2	3	0
ENST00000302625.5	CDK5R2	0	0	0	0
ENST00000359236.9	VSIG10	0	0	0	0
ENST00000367156.7	KLHDC8A	0	0	0	0
ENST00000273258.3	ARL6IP5	6	3	5	1
ENST00000374273.7	SPAG4	1	1	0	0
ENST00000334058.2	KRTAP19-4	0	0	0	0
ENST00000600767.5	KLK8	0	0	0	0
ENST00000216862.7	CYP24A1	0	0	0	0
ENST00000303592.3	KCNJ4	0	0	0	0
ENST00000397967.4	RNASE1	0	0	0	0
ENST00000354725.7	SND1	234	77	113	18
ENST00000301399.11	ZNF577	0	0	0	0
ENST00000508192.5	MARK2	13	11	10	1
ENST00000377024.7	C9orf57	0	0	0	0
ENST00000361573.2	SLC9A8	8	3	4	2
ENST00000287878.8	PRKAG2	0	0	0	0
ENST00000373337.3	TMEM35B	8	5	6	3
ENST00000377459.2	HIST1H2AH	446	191	207	44
ENST00000397977.7	INTS10	41	9	14	2
ENST00000612967.2	C5orf56	0	0	0	0
ENST00000287482.5	SASS6	18	7	5	5
ENST00000159087.6	ANO8	0	1	1	0
ENST00000267202.6	VPS37B	8	2	4	0
ENST00000305089.7	REG1B	0	0	0	0
ENST00000320005.5	CNGB3	0	0	0	0
ENST00000262288.7	SCPEP1	10	3	3	0
ENST00000431232.6	TMEM8A	4	4	1	0
ENST00000308497.8	STOX2	0	0	0	0
ENST00000261733.6	ALDH2	18	2	4	3
ENST00000245222.8	SPHK2	4	0	2	0
ENST00000535286.5	TDRD3	7	5	2	0
ENST00000368742.3	LOR	0	0	0	0
ENST00000397826.7	FAM207A	14	11	9	5
ENST00000434634.6	WDR73	24	3	7	2
ENST00000244174.10_PAR_Y	IL9R	0	0	0	0
ENST00000396168.1	PTPN5	0	0	0	0
ENST00000538724.5	RERGL	0	0	0	0
ENST00000438763.6	HLA-DOB	0	0	0	0
ENST00000394767.2	CXXC4	0	0	0	0
ENST00000378644.4	SYCE1L	0	0	0	0
ENST00000272367.6	CLEC4F	0	0	0	0
ENST00000374259.7	FOXO4	2	2	1	1
ENST00000498907.2	CEBPA	0	0	0	0
ENST00000581312.5	OTUD7B	3	4	2	0
ENST00000609117.5	SYT6	0	0	0	0
ENST00000373664.7	RBL1	19	8	13	4
ENST00000308736.6	DHX37	25	15	11	7
ENST00000295666.6	IGFBP7	0	0	0	0
ENST00000556626.5	SPTB	32	16	12	5
ENST00000442039.2	C16orf91	9	2	7	0
ENST00000366810.5	MIXL1	0	0	0	0
ENST00000273691.7	ILDR1	0	0	0	0
ENST00000277632.7	MINDY3	13	4	10	0
ENST00000310496.8	RFNG	4	4	1	0
ENST00000262982.2	CSE1L	254	95	95	32
ENST00000243103.3	HOXC12	0	0	0	0
ENST00000366806.6	AFDN	38	32	26	7
ENST00000527246.3	PBOV1	0	0	0	0
ENST00000305817.2	PRND	0	0	0	0
ENST00000374720.7	SLC44A1	0	1	0	0
ENST00000318282.9	MKL2	2	3	1	1
ENST00000305533.9	TWF2	64	14	25	2
ENST00000258317.6	NPL	7	4	0	2
ENST00000294981.8	MAPKAPK2	16	10	6	0
ENST00000339560.9	PODNL1	0	0	0	0
ENST00000335847.8	CRISP1	0	0	0	0
ENST00000616623.4	CRY2	9	5	7	3
ENST00000398814.7	CCDC33	0	0	0	0
ENST00000338482.5	CHST4	0	0	0	0
ENST00000215659.12	MAPK12	3	0	1	0
ENST00000335093.4	KRTAP21-1	0	0	0	0
ENST00000523037.5	MRPL22	19	23	22	5
ENST00000627532.2	ZEB2	14	9	6	1
ENST00000379568.3	PAK1IP1	43	26	24	3
ENST00000262803.9	UPF1	70	36	28	12
ENST00000334056.9	SPDYA	0	0	0	0
ENST00000441493.6	MICAL3	7	1	3	0
ENST00000375464.6	CARD19	10	0	2	0
ENST00000419982.3	CT47A12	0	0	0	0
ENST00000310397.12	SNED1	0	0	0	0
ENST00000254051.10	TNS4	6	2	4	1
ENST00000372754.5	MATN4	0	0	0	0
ENST00000263681.6	POLD3	8	6	3	1
ENST00000594211.1	KLK9	0	0	0	0
ENST00000379410.7	PLEKHN1	0	0	0	0
ENST00000369915.7	TKTL1	0	0	0	0
ENST00000343457.3	LRRC66	0	0	0	0
ENST00000310604.8	DCAKD	7	3	0	2
ENST00000250124.10	MPDU1	43	12	23	2
ENST00000424789.6	TANC2	3	1	0	0
ENST00000282296.9	ZNF551	8	3	3	1
ENST00000225430.8	RPL19	628	454	342	120
ENST00000302558.7	RGPD8	5	1	0	0
ENST00000519948.3	ATXN7L3B	21	5	7	2
ENST00000299237.2	ZNF319	3	0	2	0
ENST00000426216.6	ATP9B	2	2	3	0
ENST00000244534.6	HIST1H1D	160	98	69	26
ENST00000346562.6	NPAS3	0	0	0	0
ENST00000325239.11	WDFY4	0	0	0	0
ENST00000291232.4	TNFRSF13C	0	0	0	0
ENST00000263228.3	UBE2R2	7	8	4	1
ENST00000556573.5	TMEM179	0	0	0	0
ENST00000261439.8	TBC1D1	5	1	2	0
ENST00000617537.4	AOAH	0	0	0	0
ENST00000261304.6	GALC	8	1	3	0
ENST00000326446.9	ARL6IP6	19	6	9	3
ENST00000555591.1	AL096870.1	0	0	0	0
ENST00000521180.5	ST3GAL1	1	0	0	0
ENST00000372582.5	IL1RAPL2	0	0	0	0
ENST00000376180.7	ITGBL1	0	0	0	0
ENST00000308251.5	KCNG4	0	0	0	0
ENST00000322313.8	WDR33	52	22	18	7
ENST00000328600.2	NLRP10	0	0	0	0
ENST00000369301.3	NHLRC2	13	1	6	3
ENST00000259526.3	NOV	0	0	0	0
ENST00000304430.9	NUDT6	3	1	3	0
ENST00000336689.7	ASAP3	8	6	1	0
ENST00000322716.7	EPM2AIP1	14	12	8	0
ENST00000594684.1	AC003006.1	0	0	0	0
ENST00000358065.4	SETMAR	8	4	5	0
ENST00000511166.1	CCDC169-SOHLH2	2	0	3	0
ENST00000379405.3	PRSS3	6	1	0	1
ENST00000256737.7	ANO3	0	0	0	0
ENST00000369762.6	ATP6AP1	73	33	32	8
ENST00000590918.5	GIPR	3	0	0	0
ENST00000265643.3	GAL	49	9	17	3
ENST00000367983.8	NR1I3	0	0	0	0
ENST00000392209.7	CCNYL1	2	1	1	1
ENST00000593751.7	FAM156B	0	0	1	1
ENST00000641251.1	OR4C6	0	0	0	0
ENST00000611217.4	POTEB3	0	0	0	0
ENST00000599612.2	MPV17L2	17	11	3	0
ENST00000357666.8	ZNF816	4	6	1	1
ENST00000615550.4	PRIM2	45	16	18	6
ENST00000312134.2	CST6	0	0	0	0
ENST00000261590.12	DSG2	44	24	39	7
ENST00000368738.3	S100A9	0	0	0	0
ENST00000634607.1	PHF14	31	9	10	3
ENST00000262290.8	LPO	0	0	0	0
ENST00000318124.3	DEFB103B	0	0	0	0
ENST00000370187.7	BTRC	7	1	4	1
ENST00000335987.7	OVOL1	0	0	0	0
ENST00000334512.9	ZMIZ1	15	5	4	4
ENST00000356443.8	MYOM1	1	0	0	0
ENST00000448803.6	ZSCAN2	1	1	0	0
ENST00000312106.5	CATSPER1	0	0	0	0
ENST00000402971.3	OR6B2	0	0	0	0
ENST00000232888.6	RRP9	24	12	20	4
ENST00000485713.5	SLC4A2	67	22	40	5
ENST00000450845.6	SPATA24	2	0	1	0
ENST00000310144.10	PSMC5	103	53	40	11
ENST00000353479.9	COL17A1	0	0	0	0
ENST00000368508.7	ROS1	0	0	0	0
ENST00000374051.7	NLGN3	0	0	0	0
ENST00000371485.7	CEP55	8	3	5	2
ENST00000407236.5	PPARA	0	0	0	0
ENST00000228251.8	YBX3	70	33	37	8
ENST00000450966.5	USP40	9	3	1	0
ENST00000205948.10	APOH	0	0	0	0
ENST00000338165.8	EME1	2	5	3	2
ENST00000367993.7	NDUFS2	94	40	53	13
ENST00000541970.5	PDCD2	113	40	36	11
ENST00000415641.7	NBPF4	0	0	0	0
ENST00000555938.1	AC011448.1	10	16	6	6
ENST00000589666.5	UNK	7	0	2	1
ENST00000287380.5	TBC1D31	13	5	9	1
ENST00000400841.7_PAR_Y	CRLF2	0	0	0	0
ENST00000258829.5	NKX2-8	0	0	0	0
ENST00000367090.3	TMEM181	12	7	2	1
ENST00000360423.11	SULT1A4	0	0	0	0
ENST00000181383.8	CPB2	0	0	0	0
ENST00000326637.7	TNNI3K	0	0	0	0
ENST00000430121.2	FAM198A	0	0	0	0
ENST00000311659.4	UBQLN3	0	0	0	0
ENST00000404257.5	NEU4	0	0	0	0
ENST00000518699.3	NKX6-3	0	0	0	0
ENST00000299705.9	TMED3	31	10	11	1
ENST00000299459.2	OR2D2	0	0	0	0
ENST00000448100.6	ZGPAT	6	4	3	2
ENST00000417563.2	TEX50	0	0	0	0
ENST00000576730.5	MCRIP1	5	4	1	1
ENST00000367267.5	SYT2	0	0	0	0
ENST00000291700.8	S100B	0	0	0	0
ENST00000345365.10	RAD51D	4	0	2	0
ENST00000303545.3	RNF139	4	0	3	2
ENST00000373115.4	CHST3	0	0	0	0
ENST00000369583.3	DUSP5	2	0	0	0
ENST00000373884.5	XKR8	1	1	1	0
ENST00000416284.7	FAM19A2	0	0	0	0
ENST00000335999.6	NCKAP5L	0	1	3	0
ENST00000641663.1	OR2A25	0	0	0	0
ENST00000619757.4	HIC1	0	0	1	0
ENST00000394532.7	BAD	2	0	0	2
ENST00000641093.1	OR14A16	0	0	0	0
ENST00000355705.3	PLGLB1	0	0	0	0
ENST00000369478.3	CD2	0	0	0	0
ENST00000340363.9	C17orf99	4	0	2	0
ENST00000509578.1	COX7C	295	74	105	16
ENST00000542678.5	ABCB9	5	2	0	1
ENST00000394752.7	SFMBT1	1	2	3	1
ENST00000428112.6	MKNK1	17	2	10	1
ENST00000381638.6	ZZEF1	13	9	5	0
ENST00000216037.10	XBP1	19	8	8	2
ENST00000218099.6	F9	0	0	0	0
ENST00000446157.2	MUSTN1	0	0	0	0
ENST00000511556.5	ZNF135	0	0	0	0
ENST00000312891.2	GJC3	0	0	0	0
ENST00000622500.1	GPIHBP1	0	0	0	0
ENST00000295240.7	BBS5	4	1	2	0
ENST00000533490.6	ZAR1L	0	0	0	0
ENST00000610540.4	CAB39L	0	0	0	0
ENST00000339355.2	TCTEX1D4	0	1	0	0
ENST00000431473.3	RIMKLA	0	0	0	0
ENST00000250111.8	ATP1B2	4	0	2	0
ENST00000251582.11	ADAMTS2	0	0	0	0
ENST00000612183.4	FAM71D	0	0	0	0
ENST00000419275.2	PPIAL4G	97	29	31	3
ENST00000543753.5	KRTCAP3	0	0	0	0
ENST00000263196.11	DGCR2	42	23	14	3
ENST00000357736.8	MAFG	3	3	2	1
ENST00000264963.8	LMAN2L	7	3	3	2
ENST00000289013.10	RHPN1	0	0	0	0
ENST00000302851.7	ZNF561	6	4	0	1
ENST00000302097.3	ZNF280A	14	3	1	1
ENST00000318245.5	LMO7DN	0	0	0	0
ENST00000376854.5	C9orf40	22	10	12	1
ENST00000258494.13	ALDH1L2	6	1	5	2
ENST00000620676.4	VPS13D	16	18	10	0
ENST00000587091.5	SLC16A2	0	0	0	0
ENST00000402685.6	PDZRN4	0	0	0	0
ENST00000269967.3	CCDC97	8	3	4	1
ENST00000274031.7	SETD7	0	0	0	0
ENST00000370855.5	SLC44A5	0	0	0	1
